pattern,claude-opus-4-6__bool,claude-opus-4-6__per1k,claude-opus-4-7__bool,claude-opus-4-7__per1k,gpt-4o-2024-11-20__bool,gpt-4o-2024-11-20__per1k,gpt-5-chat-latest__bool,gpt-5-chat-latest__per1k,gpt-5.3-chat__bool,gpt-5.3-chat__per1k,gpt-5.4__bool,gpt-5.4__per1k,delta_bool,delta_per1k,sign_flip
不是_是,0.273,0.39365,0.202,0.60543,0.157,0.31017,0.223,0.60997,0.256,0.72713,0.533,0.95311,-0.071,0.21178,True
你不是_你只是,0.017,0.01547,0.003,0.00774,0.003,0.00579,0.005,0.01065,0.001,0.00142,0.028,0.02229,-0.014,-0.00773,False
不是_就是,0.005,0.00433,0.002,0.00465,0.0,0.0,0.0,0.0,0.001,0.00142,0.003,0.00203,-0.003,0.00031,True
而不是,0.053,0.05323,0.061,0.1471,0.106,0.23263,0.075,0.18253,0.137,0.33876,0.175,0.19812,0.008,0.09387,False
是X还是Y,0.019,0.01733,0.056,0.144,0.008,0.01273,0.018,0.03955,0.011,0.0241,0.018,0.01469,0.037,0.12667,False
也就是说,0.001,0.00062,0.002,0.00465,0.003,0.00579,0.012,0.02738,0.006,0.01276,0.069,0.05472,0.001,0.00403,False
换句话说,0.0,0.0,0.0,0.0,0.01,0.01736,0.007,0.01521,0.003,0.00567,0.013,0.00963,0.0,0.0,False
本质上,0.05,0.04642,0.01,0.02477,0.012,0.01968,0.007,0.01521,0.015,0.0326,0.11,0.09577,-0.04,-0.02165,False
更准确_地说,0.003,0.00309,0.002,0.00465,0.001,0.00116,0.001,0.00152,0.002,0.00425,0.035,0.02686,-0.001,0.00155,True
更具体_地说,0.019,0.01733,0.034,0.07587,0.017,0.02778,0.052,0.11713,0.068,0.14032,0.071,0.05472,0.015,0.05854,False
真正的X,0.066,0.06747,0.038,0.08981,0.051,0.10995,0.043,0.10344,0.039,0.08788,0.084,0.08715,-0.028,0.02234,True
你问到核心,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
我太懂,0.001,0.00124,0.001,0.0031,0.008,0.01273,0.02,0.04411,0.001,0.00283,0.001,0.00051,0.0,0.00186,False
我必须认真说,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
我就在这里,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
这次我真的懂了,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
我先把,0.001,0.00062,0.001,0.00155,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00101,0.0,0.00093,False
你这,0.052,0.0489,0.059,0.14091,0.029,0.05092,0.047,0.10496,0.027,0.05811,0.085,0.0755,0.007,0.09201,False
先说结论,0.021,0.01857,0.003,0.00619,0.0,0.0,0.002,0.00456,0.012,0.02551,0.041,0.0304,-0.018,-0.01237,False
我建议你,0.001,0.00124,0.0,0.0,0.003,0.00579,0.001,0.00152,0.003,0.00709,0.036,0.03496,-0.001,-0.00124,False
如果你,0.197,0.21973,0.182,0.47382,0.342,1.05782,0.386,1.18951,0.634,1.7675,0.89,1.7456,-0.015,0.25409,True
如果你愿意,0.049,0.04395,0.064,0.144,0.085,0.14698,0.159,0.3529,0.546,1.15518,0.85,0.73523,0.015,0.10006,False
给你X,0.012,0.01114,0.039,0.08826,0.015,0.03009,0.012,0.02738,0.074,0.15875,0.259,0.26095,0.027,0.07712,False
要我X,0.006,0.00495,0.013,0.02942,0.003,0.00463,0.054,0.11865,0.001,0.00142,0.001,0.00101,0.007,0.02447,False
要_吗,0.015,0.01362,0.018,0.04181,0.012,0.02083,0.026,0.05628,0.002,0.00425,0.012,0.00912,0.003,0.02819,False
要不要把,0.0,0.0,0.002,0.00465,0.0,0.0,0.0,0.0,0.001,0.00142,0.001,0.00051,0.002,0.00465,False
推荐你,0.001,0.00124,0.002,0.00465,0.002,0.00347,0.0,0.0,0.0,0.0,0.006,0.00405,0.001,0.00341,False
说来听听,0.0,0.0,0.001,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0031,False
落地,0.018,0.02538,0.016,0.06194,0.014,0.03009,0.022,0.06997,0.013,0.06095,0.097,0.14036,-0.002,0.03656,True
拆解,0.023,0.02166,0.003,0.00774,0.015,0.02662,0.011,0.02434,0.002,0.00425,0.011,0.00811,-0.02,-0.01392,False
压实,0.001,0.00124,0.001,0.00155,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00051,0.0,0.00031,False
根因,0.001,0.00124,0.001,0.00155,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00051,0.0,0.00031,False
收口,0.001,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00051,-0.001,-0.00062,False
按这条切,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
别碰,0.002,0.00186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00101,-0.002,-0.00186,False
想真正,0.001,0.00124,0.002,0.00465,0.001,0.00116,0.001,0.00152,0.001,0.00142,0.001,0.00051,0.001,0.00341,False
再决定,0.004,0.00371,0.011,0.02477,0.003,0.00579,0.01,0.0213,0.006,0.01134,0.028,0.02331,0.007,0.02106,False
定死,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00304,0.001,0.00142,0.001,0.00101,0.0,0.0,False
我接下来,0.0,0.0,0.001,0.0031,0.001,0.00231,0.001,0.00304,0.002,0.00425,0.003,0.00203,0.001,0.0031,False
我_就只,0.0,0.0,0.0,0.0,0.001,0.00116,0.0,0.0,0.0,0.0,0.002,0.00152,0.0,0.0,False
一句话总结,0.085,0.07923,0.026,0.05729,0.001,0.00231,0.039,0.08975,0.042,0.09355,0.113,0.08766,-0.059,-0.02193,False
我讲一个更深的,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
我逐步说清楚,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
明确,0.062,0.06808,0.032,0.08052,0.102,0.24883,0.063,0.15211,0.048,0.1063,0.156,0.2118,-0.03,0.01243,True
更值得,0.003,0.00248,0.002,0.00465,0.003,0.00463,0.003,0.00608,0.0,0.0,0.018,0.0152,-0.001,0.00217,True
更现实,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.01276,0.023,0.01672,0.0,0.0,False
这样看,0.0,0.0,0.0,0.0,0.001,0.00116,0.005,0.01065,0.004,0.0085,0.001,0.00051,0.0,0.0,False
会这么,0.001,0.00124,0.001,0.00155,0.001,0.00231,0.002,0.00456,0.002,0.00425,0.021,0.01571,0.0,0.00031,False
前提是,0.001,0.00186,0.001,0.0031,0.001,0.00116,0.001,0.00304,0.003,0.00709,0.026,0.02027,0.0,0.00124,False
回答是,0.006,0.00495,0.002,0.00465,0.003,0.0081,0.003,0.00608,0.002,0.00425,0.008,0.00963,-0.004,-0.00031,False
更深一点,0.001,0.00062,0.001,0.0031,0.0,0.0,0.0,0.0,0.001,0.00142,0.002,0.00152,0.0,0.00248,False
非常关键,0.003,0.00248,0.0,0.0,0.0,0.0,0.003,0.00761,0.002,0.00425,0.016,0.01216,-0.003,-0.00248,False
确实,0.115,0.12008,0.038,0.08981,0.07,0.13541,0.073,0.17645,0.09,0.19844,0.098,0.08057,-0.077,-0.03027,False
说透了,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
最硬,0.001,0.00062,0.001,0.00155,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00051,0.0,0.00093,False
